ID,Cliente,Modulo,Texto,Texto2,Texto3,n1b1,n1b2,n1b3,n1b4,n1b5,n1i1,n1i2,n1i3,n1i4,n1i5,n1n1,n1n2,n1n3,n1n4,n1n5,n1g1,n1g2,n1g3,n1g4,n1g5,n1o1,n1o2,n1o3,n1o4,n1o5
1,,,,,,15,13,1,10,5,28,16,30,25,20,39,37,1,31,45,58,46,60,50,55,75,61,73,70,65
2,,,,,,4,7,15,13,3,17,23,22,25,16,34,37,2,41,31,48,53,52,56,59,64,65,66,68,75
3,,,,,,13,11,14,8,3,26,29,28,23,18,37,35,3,44,43,56,59,58,48,53,73,74,71,68,63
4,,,,,,12,10,13,7,2,25,28,27,22,17,36,34,4,43,42,55,58,57,47,52,72,73,70,67,62
5,,,,,,15,4,7,10,12,30,25,23,20,18,42,38,5,32,34,51,58,59,46,57,74,65,75,72,64
6,,,,,,14,13,8,6,4,29,18,28,22,17,31,39,6,44,37,59,50,56,46,54,71,74,65,75,68
7,,,,,,1,5,6,9,8,23,24,16,21,20,37,32,7,31,40,50,46,51,53,54,66,61,65,69,68
8,,,,,,13,8,9,3,4,19,18,24,23,28,43,38,8,36,37,54,49,48,58,53,69,73,68,64,63
9,,,,,,1,9,7,12,8,23,16,24,22,27,34,31,9,39,41,53,46,54,57,52,72,61,67,69,68
10,,,,,,7,13,2,1,4,23,18,24,30,25,38,35,10,34,33,52,57,58,46,49,67,71,75,62,74
11,,,,,,3,9,5,6,14,29,21,20,24,18,36,33,11,38,39,51,54,48,50,59,74,63,69,65,66
12,,,,,,4,5,13,11,12,17,28,25,23,22,39,37,12,38,41,53,47,48,49,51,64,61,73,71,67
13,,,,,,12,15,10,6,11,30,20,24,19,17,37,34,13,33,40,60,57,47,59,46,74,64,65,68,70
14,,,,,,1,4,11,10,12,16,27,22,28,19,42,44,14,33,32,47,52,50,51,46,72,73,67,71,75
15,,,,,,8,7,2,15,13,23,27,22,16,26,40,33,15,38,31,53,59,50,55,48,65,68,74,69,62
16,,,,,,10,13,7,4,2,17,26,25,22,20,32,40,16,38,34,55,59,48,52,53,70,65,62,68,73
17,,,,,,9,2,4,7,11,17,19,22,24,26,39,35,17,33,32,54,47,49,56,52,71,69,62,64,967
18,,,,,,15,1,5,8,14,30,27,23,16,26,42,39,18,45,36,50,52,58,46,47,74,68,61,63,72
19,,,,,,8,12,2,6,7,30,27,25,18,19,31,34,19,40,36,59,51,49,53,57,68,69,70,75,64
20,,,,,,9,14,7,6,2,21,18,30,25,27,45,33,20,35,38,52,46,57,54,47,72,68,61,65,67
21,,,,,,7,9,3,2,6,25,17,20,21,16,43,31,21,37,38,52,57,56,58,60,69,71,73,61,63
22,,,,,,7,10,9,2,1,25,24,17,16,22,31,32,22,37,44,54,47,46,52,55,70,69,67,61,62
23,,,,,,1,8,10,12,6,23,25,27,21,16,41,31,23,43,42,55,53,57,51,46,61,70,68,72,66
24,,,,,,1,14,8,13,5,29,21,16,22,28,35,43,24,32,31,50,52,46,51,48,72,61,73,65,68
25,,,,,,7,12,3,4,6,23,19,17,18,21,38,44,25,35,32,52,58,46,60,51,64,67,61,70,65
26,,,,,,4,9,11,14,12,24,23,20,26,21,41,40,26,44,45,49,56,51,55,59,64,70,68,61,74
27,,,,,,9,15,5,8,7,27,18,20,22,23,42,44,27,32,33,55,59,60,47,50,71,74,61,63,67
28,,,,,,3,7,8,11,10,25,26,18,23,22,39,34,28,33,42,52,48,53,55,56,68,63,67,71,70
29,,,,,,2,6,7,10,9,24,25,17,22,21,38,33,29,32,41,51,47,52,54,55,67,62,66,70,69
30,,,,,,15,8,9,11,10,23,24,30,25,26,31,45,30,35,39,54,60,53,56,55,68,75,69,71,72
31,,,,,,13,5,10,9,11,19,18,23,27,21,41,35,31,34,43,49,55,48,59,58,67,72,74,64,66
32,,,,,,12,1,6,7,9,29,16,21,23,19,31,33,32,34,37,57,47,48,51,54,73,62,66,71,72
33,,,,,,9,12,1,13,6,27,16,28,21,24,33,39,33,35,34,51,57,46,58,54,69,72,73,61,66
34,,,,,,1,4,9,14,5,19,24,29,20,16,35,39,34,42,31,46,49,54,59,60,64,69,65,74,61
35,,,,,,2,1,10,13,11,21,24,25,28,16,33,43,35,40,37,46,59,51,54,49,62,64,72,75,70
36,,,,,,14,7,15,12,13,19,18,24,25,26,34,43,36,39,38,56,48,59,51,53,63,64,66,68,70
37,,,,,,15,3,8,9,13,26,22,24,17,16,31,35,37,36,41,58,52,49,57,56,62,65,63,66,73
38,,,,,,7,10,15,1,5,18,29,16,24,23,38,42,38,43,33,50,59,56,49,48,69,72,70,73,65
39,,,,,,6,9,1,15,2,21,17,27,18,24,32,34,39,38,37,52,57,55,56,51,62,63,72,61,65
40,,,,,,5,6,10,13,4,20,17,28,21,16,32,44,40,35,41,55,57,48,51,52,64,73,66,68,62
41,,,,,,3,4,8,9,11,19,27,28,16,18,33,36,41,44,35,48,59,56,51,54,67,64,73,63,66
42,,,,,,13,3,2,10,5,23,28,17,18,19,35,40,42,34,43,49,58,46,50,47,73,67,74,69,61
43,,,,,,15,6,11,14,13,18,24,26,28,29,33,35,43,38,39,46,50,51,53,56,62,65,67,69,73
44,,,,,,11,1,9,8,4,23,20,17,27,29,32,35,44,37,40,54,48,59,56,49,74,70,63,67,69
45,,,,,,5,8,13,14,3,16,27,29,22,21,36,40,45,41,31,48,57,54,47,46,67,70,68,71,63
46,,,,,,6,10,15,12,13,26,25,22,28,23,42,41,46,45,31,50,57,53,58,46,66,72,70,63,61
47,,,,,,8,12,3,4,2,27,16,30,22,20,33,36,47,44,34,54,59,46,52,50,69,71,66,63,74
48,,,,,,1,12,10,8,14,16,25,27,29,23,31,32,48,35,40,57,55,46,59,53,61,70,68,72,74
49,,,,,,2,15,3,12,7,30,18,17,27,22,41,39,49,33,32,60,48,47,52,57,62,63,75,72,67
50,,,,,,2,12,13,7,8,23,22,28,27,17,32,42,50,40,41,58,53,52,47,57,73,62,72,68,67
51,,,,,,5,13,15,3,7,28,30,18,20,22,35,31,51,44,45,50,58,60,52,48,67,65,73,75,63
52,,,,,,10,14,2,5,7,25,20,18,30,28,37,33,52,42,44,46,53,54,56,52,69,75,70,67,74
53,,,,,,8,4,2,15,6,23,17,18,21,30,38,39,53,42,32,49,47,53,51,60,68,62,75,64,66
54,,,,,,7,3,1,14,5,22,16,18,20,29,37,38,54,41,31,48,46,52,50,59,67,61,74,63,65
55,,,,,,1,7,12,15,14,19,25,27,29,30,34,36,55,39,40,47,51,52,54,57,63,66,68,70,74
56,,,,,,3,9,10,8,14,18,23,25,24,29,33,40,56,43,32,48,54,55,53,59,69,70,63,74,68
57,,,,,,5,11,1,4,3,23,29,16,18,19,38,40,57,43,44,51,55,56,58,46,67,70,72,74,63
58,,,,,,6,12,13,11,2,21,26,28,27,17,36,43,58,31,35,51,57,58,56,47,72,73,66,62,71
59,,,,,,2,8,12,11,14,18,28,19,25,20,33,45,59,44,43,47,52,53,56,59,62,66,70,72,69
60,,,,,,6,9,4,15,5,24,29,18,28,26,31,43,60,42,34,54,51,58,53,55,68,73,74,62,64
61,,,,,,15,4,9,13,14,22,19,17,25,26,38,41,61,32,43,51,58,56,60,49,75,61,62,67,71
62,,,,,,2,5,10,12,13,19,29,27,23,17,36,39,62,44,41,49,59,53,52,48,65,70,68,62,66
63,,,,,,4,6,14,9,11,18,23,21,27,16,38,37,63,40,43,48,52,46,51,59,65,71,73,61,72
64,,,,,,12,15,8,6,11,25,16,30,18,24,42,45,64,34,39,56,46,60,49,52,72,73,74,61,68
65,,,,,,11,1,15,8,3,21,26,30,16,17,33,38,65,32,41,47,56,59,48,60,71,65,72,67,74
66,,,,,,4,1,12,7,10,19,21,24,18,16,35,34,66,45,40,49,55,51,58,47,64,73,69,67,75
67,,,,,,14,15,2,5,7,30,29,19,21,23,31,34,67,39,43,47,60,59,54,55,62,63,68,70,71
68,,,,,,13,10,6,1,4,28,30,18,27,25,44,43,68,39,34,58,49,60,52,56,73,67,63,61,69
69,,,,,,10,14,4,8,9,17,29,27,20,21,33,36,69,42,38,46,53,51,55,59,70,71,72,62,66
70,,,,,,1,7,8,12,14,27,24,25,18,20,38,32,70,43,41,55,54,51,59,46,65,66,68,73,74
71,,,,,,1,8,11,12,15,21,26,29,27,30,33,42,71,37,44,48,52,53,54,58,64,70,71,68,67
72,,,,,,5,8,13,15,1,22,17,30,26,20,39,42,72,32,44,52,47,56,55,51,68,73,71,65,69
73,,,,,,4,9,5,11,14,24,20,19,26,29,38,34,73,41,39,59,54,50,56,49,74,69,71,64,65
74,,,,,,4,10,8,7,14,22,25,23,29,19,34,36,74,44,39,53,49,55,52,59,67,70,64,68,74
75,,,,,,2,7,5,6,12,27,17,20,22,21,31,32,75,39,41,57,51,47,52,50,67,65,62,72,66
76,,,,,,15,7,9,11,5,22,24,26,20,30,40,45,76,42,41,54,52,56,50,60,75,69,67,71,65
77,,,,,,14,2,7,8,11,20,19,26,22,27,43,44,77,31,39,46,50,54,56,58,75,63,64,70,73
78,,,,,,13,5,7,9,3,20,22,24,18,28,38,43,78,40,39,52,50,54,48,58,73,67,65,69,63
79,,,,,,12,4,6,8,2,19,21,23,17,27,37,42,79,39,38,51,49,53,47,57,72,66,64,68,62
80,,,,,,8,9,11,14,1,24,23,28,30,17,40,43,80,33,37,56,54,53,48,49,71,72,62,64,65
81,,,,,,13,4,8,9,10,29,24,30,21,16,44,41,81,40,39,58,48,49,52,55,73,62,66,68,65
82,,,,,,7,15,8,5,6,27,26,17,18,19,42,36,82,32,31,49,56,52,59,46,73,74,61,63,65
83,,,,,,1,9,11,14,3,24,26,29,16,18,31,42,83,40,41,46,54,56,48,59,63,61,69,71,74
84,,,,,,2,3,9,8,12,19,27,26,28,29,36,35,84,45,41,51,52,59,46,48,66,64,63,75,73
85,,,,,,2,1,11,9,7,17,21,16,25,20,34,42,85,32,40,47,53,59,49,57,74,62,68,63,71
86,,,,,,11,12,5,14,13,27,21,29,28,26,35,38,86,33,41,57,51,59,58,56,71,73,65,74,72
87,,,,,,8,2,15,3,4,22,25,21,24,20,44,40,87,39,38,49,60,53,59,51,75,67,61,65,64
88,,,,,,13,5,4,1,14,17,23,28,16,18,31,36,88,35,41,55,54,51,46,59,63,67,69,72,73
89,,,,,,5,10,9,8,14,25,29,20,28,27,35,36,89,44,32,50,55,54,53,60,74,69,70,68,64
90,,,,,,2,7,6,5,11,22,26,17,25,24,32,33,90,41,44,47,52,51,50,57,71,65,67,66,62
91,,,,,,5,2,13,8,11,20,22,25,19,17,36,35,91,31,41,50,56,52,59,48,65,74,70,68,61
92,,,,,,3,6,5,13,12,21,20,28,27,18,42,43,92,33,40,50,58,57,48,51,66,65,63,72,73
93,,,,,,7,13,14,12,3,22,27,29,28,18,37,44,93,32,36,52,58,59,57,48,73,74,67,63,72
94,,,,,,12,14,7,2,4,26,16,29,20,24,31,45,94,33,36,56,60,54,59,52,73,64,66,69,65
95,,,,,,6,1,2,11,12,27,26,17,16,21,36,31,95,44,45,47,57,56,51,46,62,66,61,72,71
96,,,,,,3,10,13,14,2,23,28,16,29,17,35,44,96,39,31,50,54,55,56,60,66,72,73,70,69
97,,,,,,3,2,10,14,12,19,22,18,21,27,31,41,97,33,35,48,51,56,53,52,65,63,72,61,69
98,,,,,,2,10,11,13,12,25,26,17,27,28,33,32,98,37,41,56,47,55,58,57,70,62,71,73,72
99,,,,,,4,9,7,8,14,29,19,22,24,23,33,34,99,41,43,59,53,49,54,52,69,67,64,74,68
100,,,,,,1,2,6,9,15,16,28,24,17,27,43,40,100,31,37,51,53,59,47,48,61,69,62,64,73
